,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
946,4,,"('W10X54',)",0.8266601562,17.6600002713,33.9600016276,17.6600002713,34.0633341471,fitz-A546,96,"('W10X54',)",,3139,,,,
947,4,,"('W10X54',)",0.8266601562,17.7633327908,33.9600016276,17.7633327908,34.0633341471,fitz-A547,96,"('W10X54',)",,3141,,,,
948,4,,"('W10X54',)",0.8266601562,17.7633327908,34.0099995931,17.6600002713,34.0099995931,fitz-A548,96,"('W10X54',)",,3143,,,,
949,4,,"('W10X54',)",0.8474757419000001,16.3866661919,22.0433332655,16.3433329264,21.9466671414,fitz-A549,96,"('W10X54',)",,3145,,,,
950,4,,"('W10X54',)",0.8474757419000001,16.2900000678,22.086666531,16.2466668023,21.9900004069,fitz-A550,96,"('W10X54',)",,3147,,,,
951,4,,"('W10X54',)",0.8123588197,16.2699991862,22.0366668701,16.3633338081,21.9966668023,fitz-A551,96,"('W10X54',)",,3149,,,,
952,4,,"('W10X54',)",0.8474757419000001,15.2633327908,19.5333336724,15.2199995253,19.4366675483,fitz-A552,96,"('W10X54',)",,3151,,,,
953,4,,"('W10X54',)",0.8474757419000001,15.1666666667,19.5766669379,15.1233334012,19.4800008138,fitz-A553,96,"('W10X54',)",,3153,,,,
954,4,,"('W10X54',)",0.8474881186000001,15.146665785,19.526667277,15.2433336046,19.4833340115,fitz-A554,96,"('W10X54',)",,3155,,,,
955,4,,"('W10X54',)",0.8232182904,14.0400000678,16.7933332655,13.996665954600001,16.7000003391,fitz-A555,96,"('W10X54',)",,3157,,,,
956,4,,"('W10X54',)",0.8474757419000001,13.943333096,16.836666531,13.8999998305,16.7400004069,fitz-A556,96,"('W10X54',)",,3159,,,,
957,4,,"('W10X54',)",0.8474757419000001,13.9199998644,16.7900000678,14.0166659885,16.7466668023,fitz-A557,96,"('W10X54',)",,3161,,,,
958,4,,"('W10X54',)",0.8474881186000001,12.7199995253,13.8466678196,12.6766662598,13.75,fitz-A558,96,"('W10X54',)",,3163,,,,
959,4,,"('W10X54',)",0.8369343205,12.6233334012,13.8900010851,12.5833333333,13.7933332655,fitz-A559,96,"('W10X54',)",,3165,,,,
960,4,,"('W10X54',)",0.8474812902000001,12.6033333672,13.8400014242,12.6999994914,13.7966664632,fitz-A560,96,"('W10X54',)",,3167,,,,
961,4,,"('W10X68',)",0.8474757419000001,20.2099999322,20.3333333333,20.1666666667,20.2366672092,fitz-A561,96,"('W10X68',)",,3169,,,,
962,4,,"('W10X68',)",0.8369217877,20.1099989149,20.3766665988,20.0699988471,20.2800004747,fitz-A562,96,"('W10X68',)",,3171,,,,
963,4,,"('W10X68',)",0.8718765515,20.0899997287,20.3300001356,20.1899990506,20.2866668701,fitz-A563,96,"('W10X68',)",,3173,,,,
964,4,,"('W10X68',)",0.8474757419000001,17.8633321126,15.0833333333,17.8199988471,14.9866672092,fitz-A564,96,"('W10X68',)",,3175,,,,
